Ventura County, California, Precipitation
199408,0.00,-0.05
199409,0.27,0.05
199410,0.81,0.20
199411,1.35,-0.34
199412,1.40,-1.78
199501,21.49,17.05
199502,1.85,-2.69
199503,10.76,7.00
199504,1.08,-0.35
199505,1.40,0.99
199506,0.29,0.24
199507,0.01,-0.01
199508,0.00,-0.05
199509,0.00,-0.22
199510,0.00,-0.61
199511,0.17,-1.52
199512,2.56,-0.62
199601,2.20,-2.24
199602,7.43,2.89
199603,2.33,-1.43
199604,0.86,-0.57
199605,0.18,-0.23
199606,0.01,-0.04
199607,0.02,0.00
199608,0.03,-0.02
199609,0.00,-0.22
199610,2.73,2.12
199611,2.81,1.12
199612,6.16,2.98
199701,6.41,1.97
199702,0.49,-4.05
199703,0.04,-3.72
199704,0.01,-1.42
199705,0.00,-0.41
199706,0.01,-0.04
199707,0.03,0.01
199708,0.00,-0.05
199709,0.26,0.04
199710,0.15,-0.46
199711,3.52,1.83
199712,7.28,4.10
199801,4.35,-0.09
199802,22.55,18.01
199803,4.87,1.11
199804,2.54,1.11
199805,2.24,1.83
199806,0.18,0.13
199807,0.00,-0.02
199808,0.00,-0.05
199809,0.47,0.25
199810,0.10,-0.51
199811,1.52,-0.17
199812,0.80,-2.38
199901,3.36,-1.08
199902,1.03,-3.51
199903,3.10,-0.66
199904,3.28,1.85
199905,0.11,-0.30
199906,0.23,0.18
199907,0.12,0.10
199908,0.00,-0.05
199909,0.09,-0.13
199910,0.00,-0.61
199911,0.88,-0.81
199912,0.09,-3.09
200001,2.05,-2.39
200002,9.00,4.46
200003,2.78,-0.98
200004,3.40,1.97
200005,0.02,-0.39
200006,0.04,-0.01
200007,0.00,-0.02
200008,0.05,0.00
200009,0.05,-0.17
200010,1.53,0.92
200011,0.00,-1.69
200012,0.03,-3.15
200101,6.81,2.37
200102,7.86,3.32
200103,5.23,1.47
200104,1.84,0.41
200105,0.02,-0.39
200106,0.00,-0.05
200107,0.06,0.04
200108,0.00,-0.05
200109,0.00,-0.22
200110,0.34,-0.27
200111,3.39,1.70
200112,1.85,-1.33
200201,1.12,-3.32
200202,0.35,-4.19
200203,0.40,-3.36
200204,0.13,-1.30
200205,0.14,-0.27
200206,0.01,-0.04
200207,0.00,-0.02
200208,0.00,-0.05
200209,0.06,-0.16
200210,0.01,-0.60
200211,4.46,2.77
200212,4.05,0.87
200301,0.02,-4.42
200302,6.86,2.32
200303,3.68,-0.08
200304,2.04,0.61
200305,1.92,1.51
200306,0.03,-0.02
200307,0.04,0.02
200308,0.02,-0.03
200309,0.02,-0.20
200310,0.18,-0.43
200311,1.44,-0.25
200312,2.17,-1.01
200401,0.76,-3.68
200402,6.89,2.35
200403,0.73,-3.03
200404,0.17,-1.26
200405,0.00,-0.41
200406,0.00,-0.05
200407,0.00,-0.02
200408,0.00,-0.05
200409,0.01,-0.21
200410,4.36,3.75
200411,0.23,-1.46
200412,8.97,5.79
200501,14.18,9.74
200502,10.63,6.09
200503,2.76,-1.00
200504,1.29,-0.14
200505,1.00,0.59
200506,0.00,-0.05
200507,0.01,-0.01
200508,0.04,-0.01
200509,0.26,0.04
200510,1.86,1.25
200511,0.87,-0.82
200512,1.28,-1.90
200601,3.78,-0.66
200602,3.21,-1.33
200603,4.25,0.49
200604,4.58,3.15
200605,1.05,0.64
200606,0.01,-0.04
200607,0.06,0.04
200608,0.01,-0.04
200609,0.01,-0.21
200610,0.27,-0.34
200611,0.17,-1.52
200612,1.31,-1.87
200701,2.08,-2.36
200702,1.81,-2.73
200703,0.27,-3.49
200704,0.84,-0.59
200705,0.07,-0.34
200706,0.00,-0.05
200707,0.01,-0.01
200708,0.01,-0.04
200709,0.61,0.39
200710,0.33,-0.28
200711,0.32,-1.37
200712,1.96,-1.22
200801,10.04,5.60
200802,1.89,-2.65
200803,0.05,-3.71
200804,0.11,-1.32
200805,0.22,-0.19
200806,0.00,-0.05
200807,0.00,-0.02
200808,0.05,0.00
200809,0.01,-0.21
200810,0.07,-0.54
200811,2.78,1.09
200812,2.73,-0.45
200901,0.82,-3.62
200902,5.55,1.01
200903,0.56,-3.20
200904,0.18,-1.25
200905,0.06,-0.35
200906,0.13,0.08
200907,0.00,-0.02
200908,0.02,-0.03
200909,0.01,-0.21
200910,2.35,1.74
200911,0.10,-1.59
200912,3.52,0.34
201001,7.15,2.71
201002,4.77,0.23
201003,0.58,-3.18
201004,2.14,0.71
201005,0.16,-0.25
201006,0.01,-0.04
201007,0.02,0.00
201008,0.00,-0.05
201009,0.01,-0.21
201010,2.44,1.83
201011,1.36,-0.33
201012,10.98,7.80
201101,0.86,-3.58
201102,3.54,-1.00
201103,7.38,3.62
201104,0.14,-1.29
201105,0.72,0.31
201106,0.18,0.13
201107,0.01,-0.01
201108,0.01,-0.04
201109,0.02,-0.20
201110,0.95,0.34
201111,2.19,0.50
201112,0.52,-2.66
201201,1.37,-3.07
201202,0.31,-4.23
201203,3.54,-0.22
201204,2.57,1.14
201205,0.02,-0.39
201206,0.00,-0.05
201207,0.02,0.00
201208,0.02,-0.03
201209,0.01,-0.21
201210,0.26,-0.35
201211,1.64,-0.05
201212,2.58,-0.60
201301,1.46,-2.98
201302,0.37,-4.17
201303,1.19,-2.57
201304,0.08,-1.35
201305,0.35,-0.06
201306,0.02,-0.03
201307,0.10,0.08
201308,0.00,-0.05
201309,0.02,-0.20
201310,0.13,-0.48
201311,0.84,-0.85
201312,0.37,-2.81
201401,0.09,-4.35
201402,4.33,-0.21
201403,2.25,-1.51
201404,0.53,-0.90
201405,0.07,-0.34
201406,0.00,-0.05
201407,0.01,-0.01
201408,0.12,0.07
201409,0.00,-0.22
201410,0.29,-0.32
201411,0.71,-0.98
201412,6.46,3.28
201501,1.97,-2.47
201502,0.88,-3.66
201503,0.69,-3.07
201504,0.32,-1.11
201505,0.61,0.20
201506,0.19,0.14
201507,0.29,0.27
201508,0.00,-0.05
201509,0.53,0.31
201510,0.29,-0.32
201511,0.27,-1.42
201512,0.78,-2.40
201601,4.78,0.34
201602,1.20,-3.34
201603,2.78,-0.98
201604,0.56,-0.87
201605,0.31,-0.10
201606,0.00,-0.05
201607,0.00,-0.02
201608,0.00,-0.05
201609,0.00,-0.22
201610,0.71,0.10
201611,1.15,-0.54
201612,4.65,1.47
201701,10.18,5.74
201702,9.24,4.70
201703,0.64,-3.12
201704,0.24,-1.19
201705,0.22,-0.19
201706,0.01,-0.04
201707,0.00,-0.02
201708,0.10,0.05
201709,0.12,-0.10
201710,0.02,-0.59
201711,0.13,-1.56
201712,0.01,-3.17
201801,2.87,-1.57
201802,0.21,-4.33
201803,6.34,2.58
201804,0.10,-1.33
201805,0.15,-0.26
201806,0.01,-0.04
201807,0.00,-0.02
201808,0.00,-0.05
201809,0.00,-0.22
201810,0.22,-0.39
201811,1.87,0.18
201812,2.47,-0.71
201901,8.17,3.73
201902,7.38,2.84
201903,4.12,0.36
201904,0.11,-1.32
201905,1.86,1.45
201906,0.04,-0.01
201907,0.00,-0.02
201908,0.00,-0.05
201909,0.01,-0.21
201910,0.00,-0.61
201911,2.82,1.13
201912,6.50,3.32
202001,0.51,-3.93
202002,0.12,-4.42
202003,5.25,1.49
202004,4.22,2.79
202005,0.14,-0.27
202006,0.03,-0.02
202007,0.00,-0.02
202008,0.00,-0.05
202009,0.00,-0.22
202010,0.01,-0.60
202011,0.16,-1.53
202012,1.66,-1.52
202101,2.40,-2.04
202102,0.04,-4.50
202103,1.12,-2.64
202104,0.05,-1.38
202105,0.01,-0.40
202106,0.00,-0.05
202107,0.01,-0.01
202108,0.01,-0.04
202109,0.00,-0.22
202110,1.29,0.68
202111,0.01,-1.68
202112,11.99,8.81
202201,0.30,-4.14
202202,0.09,-4.45
202203,1.91,-1.85
202204,0.32,-1.11
202205,0.01,-0.40
202206,0.02,-0.03
202207,0.00,-0.02
202208,0.00,-0.05
202209,0.38,0.16
202210,0.06,-0.55
202211,1.66,-0.03
202212,5.18,2.00
202301,14.31,9.87
202302,5.29,0.75
202303,7.87,4.11
