Riverside County, California, Precipitation
199411,0.50,-0.14
199412,1.21,-0.02
199501,5.82,4.28
199502,1.21,-0.36
199503,2.45,1.14
199504,0.61,0.08
199505,0.19,0.03
199506,0.11,0.08
199507,0.12,-0.14
199508,0.15,-0.32
199509,0.13,-0.21
199510,0.00,-0.41
199511,0.01,-0.63
199512,0.22,-1.01
199601,0.64,-0.90
199602,1.80,0.23
199603,0.66,-0.65
199604,0.12,-0.41
199605,0.07,-0.09
199606,0.00,-0.03
199607,0.03,-0.23
199608,0.05,-0.42
199609,0.34,0.00
199610,0.33,-0.08
199611,1.13,0.49
199612,0.92,-0.31
199701,1.87,0.33
199702,0.22,-1.35
199703,0.00,-1.31
199704,0.30,-0.23
199705,0.14,-0.02
199706,0.03,0.00
199707,0.67,0.41
199708,0.03,-0.44
199709,1.74,1.40
199710,0.15,-0.26
199711,0.58,-0.06
199712,1.64,0.41
199801,1.30,-0.24
199802,5.72,4.15
199803,1.62,0.31
199804,0.53,0.00
199805,0.49,0.33
199806,0.01,-0.02
199807,0.16,-0.10
199808,0.46,-0.01
199809,0.45,0.11
199810,0.08,-0.33
199811,0.44,-0.20
199812,0.36,-0.87
199901,0.34,-1.20
199902,0.60,-0.97
199903,0.10,-1.21
199904,1.19,0.66
199905,0.11,-0.05
199906,0.08,0.05
199907,0.70,0.44
199908,0.08,-0.39
199909,0.40,0.06
199910,0.00,-0.41
199911,0.02,-0.62
199912,0.02,-1.21
200001,0.20,-1.34
200002,1.81,0.24
200003,0.86,-0.45
200004,0.37,-0.16
200005,0.02,-0.14
200006,0.02,-0.01
200007,0.00,-0.26
200008,0.79,0.32
200009,0.09,-0.25
200010,0.49,0.08
200011,0.06,-0.58
200012,0.00,-1.23
200101,1.56,0.02
200102,2.65,1.08
200103,1.02,-0.29
200104,0.47,-0.06
200105,0.02,-0.14
200106,0.00,-0.03
200107,0.47,0.21
200108,0.09,-0.38
200109,0.04,-0.30
200110,0.01,-0.40
200111,0.44,-0.20
200112,0.46,-0.77
200201,0.15,-1.39
200202,0.03,-1.54
200203,0.25,-1.06
200204,0.30,-0.23
200205,0.01,-0.15
200206,0.00,-0.03
200207,0.01,-0.25
200208,0.00,-0.47
200209,0.32,-0.02
200210,0.04,-0.37
200211,0.71,0.07
200212,1.03,-0.20
200301,0.24,-1.30
200302,2.67,1.10
200303,1.79,0.48
200304,0.65,0.12
200305,0.11,-0.05
200306,0.01,-0.02
200307,0.14,-0.12
200308,0.79,0.32
200309,0.17,-0.17
200310,0.00,-0.41
200311,1.18,0.54
200312,0.46,-0.77
200401,0.24,-1.30
200402,2.47,0.90
200403,0.53,-0.78
200404,0.62,0.09
200405,0.00,-0.16
200406,0.00,-0.03
200407,0.04,-0.22
200408,0.18,-0.29
200409,0.17,-0.17
200410,2.06,1.65
200411,1.14,0.50
200412,2.82,1.59
200501,4.64,3.10
200502,5.28,3.71
200503,0.46,-0.85
200504,0.40,-0.13
200505,0.09,-0.07
200506,0.00,-0.03
200507,0.55,0.29
200508,0.55,0.08
200509,0.18,-0.16
200510,1.33,0.92
200511,0.01,-0.63
200512,0.05,-1.18
200601,0.34,-1.20
200602,0.81,-0.76
200603,1.33,0.02
200604,0.84,0.31
200605,0.09,-0.07
200606,0.03,0.00
200607,0.11,-0.15
200608,0.34,-0.13
200609,0.26,-0.08
200610,0.09,-0.32
200611,0.02,-0.62
200612,0.26,-0.97
200701,0.22,-1.32
200702,0.40,-1.17
200703,0.32,-0.99
200704,0.39,-0.14
200705,0.00,-0.16
200706,0.00,-0.03
200707,0.11,-0.15
200708,0.11,-0.36
200709,0.54,0.20
200710,0.02,-0.39
200711,1.13,0.49
200712,1.49,0.26
200801,2.90,1.36
200802,0.79,-0.78
200803,0.07,-1.24
200804,0.00,-0.53
200805,0.32,0.16
200806,0.00,-0.03
200807,0.30,0.04
200808,0.39,-0.08
200809,0.10,-0.24
200810,0.00,-0.41
200811,0.84,0.20
200812,2.83,1.60
200901,0.11,-1.43
200902,1.92,0.35
200903,0.05,-1.26
200904,0.04,-0.49
200905,0.01,-0.15
200906,0.01,-0.02
200907,0.02,-0.24
200908,0.06,-0.41
200909,0.09,-0.25
200910,0.06,-0.35
200911,0.18,-0.46
200912,1.91,0.68
201001,5.30,3.76
201002,1.42,-0.15
201003,0.65,-0.66
201004,0.50,-0.03
201005,0.03,-0.13
201006,0.00,-0.03
201007,0.02,-0.24
201008,0.11,-0.36
201009,0.03,-0.31
201010,1.03,0.62
201011,0.37,-0.27
201012,4.31,3.08
201101,0.27,-1.27
201102,2.01,0.44
201103,0.78,-0.53
201104,0.14,-0.39
201105,0.17,0.01
201106,0.04,0.01
201107,0.47,0.21
201108,0.13,-0.34
201109,0.62,0.28
201110,0.26,-0.15
201111,0.94,0.30
201112,0.51,-0.72
201201,0.20,-1.34
201202,0.79,-0.78
201203,0.69,-0.62
201204,0.91,0.38
201205,0.01,-0.15
201206,0.00,-0.03
201207,0.56,0.30
201208,1.12,0.65
201209,0.48,0.14
201210,0.13,-0.28
201211,0.15,-0.49
201212,1.17,-0.06
201301,1.00,-0.54
201302,0.43,-1.14
201303,0.35,-0.96
201304,0.01,-0.52
201305,0.13,-0.03
201306,0.00,-0.03
201307,0.41,0.15
201308,0.94,0.47
201309,0.51,0.17
201310,0.26,-0.15
201311,0.64,0.00
201312,0.19,-1.04
201401,0.03,-1.51
201402,0.62,-0.95
201403,0.66,-0.65
201404,0.27,-0.26
201405,0.07,-0.09
201406,0.00,-0.03
201407,0.17,-0.09
201408,0.90,0.43
201409,0.54,0.20
201410,0.01,-0.40
201411,0.18,-0.46
201412,1.78,0.55
201501,0.75,-0.79
201502,0.37,-1.20
201503,0.92,-0.39
201504,0.20,-0.33
201505,0.58,0.42
201506,0.05,0.02
201507,0.75,0.49
201508,0.06,-0.41
201509,0.40,0.06
201510,0.76,0.35
201511,0.15,-0.49
201512,0.44,-0.79
201601,2.32,0.78
201602,0.17,-1.40
201603,0.37,-0.94
201604,0.74,0.21
201605,0.13,-0.03
201606,0.00,-0.03
201607,0.04,-0.22
201608,0.08,-0.39
201609,0.49,0.15
201610,0.37,-0.04
201611,0.52,-0.12
201612,2.81,1.58
201701,4.09,2.55
201702,2.23,0.66
201703,0.06,-1.25
201704,0.01,-0.52
201705,0.22,0.06
201706,0.00,-0.03
201707,0.10,-0.16
201708,0.57,0.10
201709,0.64,0.30
201710,0.00,-0.41
201711,0.02,-0.62
201712,0.00,-1.23
201801,1.29,-0.25
201802,0.18,-1.39
201803,0.84,-0.47
201804,0.00,-0.53
201805,0.07,-0.09
201806,0.00,-0.03
201807,0.27,0.01
201808,0.22,-0.25
201809,0.01,-0.33
201810,1.21,0.80
201811,0.49,-0.15
201812,1.24,0.01
201901,2.03,0.49
201902,4.40,2.83
201903,0.97,-0.34
201904,0.11,-0.42
201905,0.47,0.31
201906,0.00,-0.03
201907,0.25,-0.01
201908,0.00,-0.47
201909,0.46,0.12
201910,0.00,-0.41
201911,1.88,1.24
201912,2.21,0.98
202001,0.10,-1.44
202002,0.25,-1.32
202003,3.67,2.36
202004,1.90,1.37
202005,0.01,-0.15
202006,0.02,-0.01
202007,0.00,-0.26
202008,0.02,-0.45
202009,0.00,-0.34
202010,0.00,-0.41
202011,0.27,-0.37
202012,0.38,-0.85
202101,1.32,-0.22
202102,0.04,-1.53
202103,0.61,-0.70
202104,0.05,-0.48
202105,0.00,-0.16
202106,0.05,0.02
202107,0.69,0.43
202108,0.25,-0.22
202109,0.20,-0.14
202110,0.33,-0.08
202111,0.00,-0.64
202112,1.85,0.62
202201,0.04,-1.50
202202,0.24,-1.33
202203,0.35,-0.96
202204,0.12,-0.41
202205,0.00,-0.16
202206,0.04,0.01
202207,0.05,-0.21
202208,0.82,0.35
202209,0.74,0.40
202210,0.78,0.37
202211,0.66,0.02
202212,0.61,-0.62
202301,2.61,1.07
202302,0.90,-0.67
202303,2.60,1.29
